building_id,load_type,ashrae_climate_zone,vintage,building_type,location,area_sqm,annual_heating_cooling_ratio,chw_annual_load,chw_cooling_hour_ratio,chw_cooling_hours,chw_data_coverage,chw_max_load,chw_max_load_gt0,chw_max_load_per_area,chw_mean_load,chw_mean_load_gt0,chw_median_load,chw_median_load_gt0,chw_min_load,chw_min_load_gt0,chw_pct_below_10pct_max,chw_pct_below_20pct_max,chw_pct_below_30pct_max,chw_pct_below_40pct_max,chw_pct_below_50pct_max,chw_pct_below_60pct_max,chw_pct_below_70pct_max,chw_pct_below_80pct_max,chw_pct_below_90pct_max,chw_q25_load,chw_q75_load,chw_valid_hours,heat_recovery_heating_fraction,hhw_annual_load,hhw_data_coverage,hhw_heating_hour_ratio,hhw_heating_hours,hhw_max_load,hhw_max_load_gt0,hhw_max_load_per_area,hhw_mean_load,hhw_mean_load_gt0,hhw_median_load,hhw_median_load_gt0,hhw_min_load,hhw_min_load_gt0,hhw_pct_below_10pct_max,hhw_pct_below_20pct_max,hhw_pct_below_30pct_max,hhw_pct_below_40pct_max,hhw_pct_below_50pct_max,hhw_pct_below_60pct_max,hhw_pct_below_70pct_max,hhw_pct_below_80pct_max,hhw_pct_below_90pct_max,hhw_q25_load,hhw_q75_load,hhw_valid_hours,max_heating_load_after_heat_recovery,max_temp,mean_temp,median_temp,min_temp,q10_temp,q20_temp,q25_temp,q30_temp,q40_temp,q50_temp,q60_temp,q70_temp,q75_temp,q80_temp,q90_temp,ratio_of_peak_heating_and_cooling,simultaneous_heating_and_cooling_hour_ratio,simultaneous_heating_and_cooling_hours
83,simulation,4A,2020s,Hospital,New York,22000,0.44,3532479573.89,100.0,8760.0,100.0,1693110.85,1693110.85,75.46,403251.09,403251.09,238052.89,238052.89,526.73,526.73,42.19,58.87,67.13,74.44,84.69,90.08,93.82,96.77,99.43,73422.95,689360.85,8760.0,0.68,1539620923.37,100.0,100.0,8760.0,464967.78,464967.78,20.72,175755.81,175755.81,162299.53,162299.53,65267.8,65267.8,0.0,6.07,31.74,62.2,80.71,93.45,98.52,99.69,99.98,132518.75,217326.13,8760.0,464038.28,36.45,12.55,12.58,-13.65,0.25,3.3,4.65,6.06,8.94,12.58,15.89,19.47,21.1,22.2,25.25,0.27,100.0,8760.0
84,simulation,4C,2020s,OutPatientHealthCare,Seattle,4000,0.36,370952266.13,99.61,8726.0,100.0,261269.39,261269.39,68.68,42346.15,42511.15,26235.81,26361.31,0.0,13.76,49.87,75.06,87.05,91.83,94.29,96.4,98.11,99.13,99.65,16697.7,52194.21,8760.0,0.85,132275863.61,100.0,100.0,8760.0,113458.18,113458.18,29.83,15099.98,15099.98,10812.95,10812.95,3605.18,3605.18,52.61,81.79,92.01,96.61,98.4,99.26,99.59,99.83,99.95,6889.46,18935.01,8760.0,113382.46,31.55,11.24,11.06,-5.6,3.9,5.89,6.74,7.66,9.4,11.06,12.55,14.11,15.0,16.1,19.4,0.43,99.61,8726.0
85,simulation,5C,2000s,OfficeLarge,Port Angeles,46000,1.15,720788266.65,36.2,3171.0,100.0,1577756.16,1577756.16,34.06,82281.77,227306.3,0.0,82079.37,0.0,0.01,85.15,89.78,93.57,95.81,97.36,98.34,99.13,99.87,99.97,0.0,10803.74,8760.0,0.02,831262982.08,100.0,52.15,4568.0,1470853.06,1470853.06,31.75,94893.03,181975.26,506.63,105174.29,0.0,0.02,77.43,87.02,93.58,97.18,98.88,99.57,99.89,99.94,99.99,0.0,117952.18,8760.0,1470853.06,29.58,9.26,9.0,-5.36,2.98,4.58,5.58,6.0,7.42,9.0,10.42,12.0,12.58,13.58,16.58,0.93,12.11,1061.0
86,simulation,6B,2000s,OfficeLarge,Great Falls,46000,1.04,1802019442.63,41.39,3626.0,100.0,2008323.23,2008323.23,43.36,205709.98,496971.72,0.0,448283.76,0.0,0.0,70.87,77.33,85.46,91.37,94.47,96.54,98.79,99.47,99.85,0.0,355415.28,8760.0,0.01,1879487631.22,100.0,60.42,5293.0,3089939.87,3089939.87,66.71,214553.38,355089.29,13230.95,189726.41,0.0,3.18,76.79,88.57,93.78,96.24,97.83,98.95,99.54,99.89,99.97,0.0,277768.85,8760.0,3089939.87,36.74,7.07,7.38,-33.9,-8.09,-1.1,0.39,1.99,4.61,7.38,10.6,13.65,15.25,17.27,21.93,1.54,14.1,1235.0
87,simulation,1A,2000s,Hospital,Miami,22000,0.15,13121884482.24,100.0,8760.0,100.0,3388621.23,3388621.23,151.03,1497932.02,1497932.02,1508870.39,1508870.39,338898.01,338898.01,0.0,1.78,9.24,35.91,70.09,92.96,97.57,99.24,99.82,1190620.58,1753850.84,8760.0,1.0,1934950425.1,100.0,100.0,8760.0,421883.63,421883.63,18.8,220884.75,220884.75,223581.1,223581.1,27103.96,27103.96,0.07,0.92,3.48,15.91,40.65,73.48,93.07,98.79,99.91,185389.34,255390.92,8760.0,-33181.09,35.35,24.51,25.1,5.25,18.3,21.53,22.45,23.01,24.19,25.1,26.1,26.99,27.55,28.26,29.65,0.12,100.0,8760.0
88,simulation,2A,2020s,HotelLarge,Tampa,11000,0.01,2294631748.39,98.33,8614.0,100.0,603422.81,603422.81,53.19,261944.26,266384.0,314975.54,317874.87,0.0,467.73,20.38,27.4,33.05,38.6,46.78,67.1,84.79,94.65,99.34,97124.76,383068.16,8760.0,0.28,18144805.68,100.0,32.81,2874.0,87664.37,87664.37,7.73,2071.32,6313.43,0.0,326.22,0.0,0.0,94.53,95.89,96.8,97.74,98.46,99.03,99.42,99.65,99.81,0.0,75.57,8760.0,87664.37,36.07,21.89,23.74,-3.4,11.39,15.85,17.38,18.76,21.57,23.74,25.0,26.1,26.7,27.49,30.0,0.15,31.14,2728.0
89,simulation,2B,2000s,Hospital,Tucson,22000,0.23,8138627626.83,100.0,8760.0,100.0,2977285.74,2977285.74,132.7,929067.08,929067.08,903071.57,903071.57,142195.4,142195.4,6.16,19.9,48.36,74.26,92.68,98.92,99.43,99.76,99.94,726376.06,1201023.31,8760.0,0.99,1882291041.31,100.0,100.0,8760.0,467834.51,467834.51,20.85,214873.41,214873.41,208881.9,208881.9,25476.84,25476.84,0.09,2.09,17.66,37.85,63.85,80.32,91.22,97.98,99.69,159335.01,262559.82,8760.0,264578.49,42.0,21.71,21.95,-1.06,9.58,13.0,14.58,16.0,19.0,21.95,24.58,27.25,28.76,30.42,33.76,0.16,100.0,8760.0
90,simulation,2A,2000s,OutPatientHealthCare,Tampa,4000,0.14,1925461441.49,99.99,8759.0,100.0,550026.62,550026.62,144.59,219801.53,219826.63,183764.85,183779.66,0.0,99.58,3.23,20.76,40.75,63.82,72.4,76.67,83.4,91.4,97.51,122190.07,311536.02,8760.0,0.98,267344610.07,100.0,100.0,8760.0,181587.4,181587.4,47.74,30518.79,30518.79,25043.8,25043.8,3493.54,3493.54,27.33,72.29,90.01,95.74,98.47,99.53,99.82,99.95,99.98,17505.51,38137.27,8760.0,181454.62,36.07,21.89,23.74,-3.4,11.39,15.85,17.38,18.76,21.57,23.74,25.0,26.1,26.7,27.49,30.0,0.33,99.99,8759.0
91,simulation,3B,2020s,HotelLarge,El Paso,11000,0.06,1138637800.29,94.1,8243.0,100.0,447052.03,447052.03,39.4,129981.48,138133.91,105734.78,123103.37,0.0,209.48,39.14,47.51,54.62,62.75,73.32,84.51,92.19,97.67,99.54,18752.46,230644.45,8760.0,0.18,66323875.88,100.0,37.71,3303.0,121074.43,121074.43,10.67,7571.22,20079.89,0.0,4825.27,0.0,0.0,84.26,88.16,91.08,93.58,95.68,97.39,98.73,99.45,99.85,0.0,516.94,8760.0,121074.43,38.9,17.98,18.47,-4.64,5.46,9.08,10.71,12.16,15.35,18.47,21.35,23.76,25.11,26.66,30.25,0.27,31.85,2790.0
92,simulation,4A,2000s,Hospital,New York,22000,0.38,7017860597.17,99.94,8755.0,100.0,3513532.28,3513532.28,156.6,801125.64,801583.16,719705.47,720321.25,0.0,980.45,19.66,48.87,73.5,88.3,96.86,98.8,99.29,99.62,99.83,409098.43,1070774.04,8760.0,0.91,2662264426.25,100.0,100.0,8760.0,718766.28,718766.28,32.04,303911.46,303911.46,288953.36,288953.36,14409.27,14409.27,0.51,1.47,15.53,49.41,74.17,90.08,97.44,99.49,99.78,238988.88,362736.47,8760.0,699960.1,36.45,12.55,12.58,-13.65,0.25,3.3,4.65,6.06,8.94,12.58,15.89,19.47,21.1,22.2,25.25,0.2,99.94,8755.0
93,simulation,8,2020s,OfficeLarge,Fairbanks,46000,2.2,436089153.73,38.29,3354.0,100.0,1358448.35,1358448.35,29.33,49781.87,130020.62,0.0,4462.37,0.0,0.01,89.89,93.32,95.63,97.16,98.0,98.53,99.02,99.53,99.83,0.0,177.66,8760.0,0.0,958576591.83,100.0,53.53,4689.0,1972540.65,1972540.65,42.58,109426.55,204430.92,260.76,59178.36,0.0,0.0,83.89,92.25,94.73,95.86,96.51,98.05,99.22,99.74,99.93,0.0,76973.48,8760.0,1972540.65,30.0,-1.44,-0.38,-38.3,-22.34,-17.16,-14.65,-11.91,-6.45,-0.38,5.64,10.18,11.91,13.62,17.34,1.45,20.58,1803.0
94,simulation,2A,2000s,Hospital,Tampa,22000,0.18,11907046956.82,100.0,8760.0,100.0,4236177.91,4236177.91,188.81,1359251.94,1359251.94,1390140.23,1390140.23,133155.0,133155.0,2.02,17.84,43.95,74.68,95.06,97.98,99.3,99.83,99.91,1022848.56,1699349.29,8760.0,1.0,2100034283.65,100.0,100.0,8760.0,555584.64,555584.64,24.76,239729.94,239729.94,236805.72,236805.72,1842.72,1842.72,0.57,2.84,12.69,39.89,75.53,90.11,96.86,99.59,99.93,194617.23,276812.58,8760.0,336152.22,36.07,21.89,23.74,-3.4,11.39,15.85,17.38,18.76,21.57,23.74,25.0,26.1,26.7,27.49,30.0,0.13,100.0,8760.0
95,simulation,3A,2000s,OfficeLarge,Sacramento,46000,0.12,3618900590.18,97.8,8567.0,100.0,2499491.67,2499491.67,53.96,413116.51,422423.32,155862.8,169649.57,0.0,0.87,57.95,70.3,78.68,84.17,88.84,92.29,95.67,99.1,99.74,11007.15,627203.41,8760.0,0.18,432687647.92,100.0,44.28,3879.0,1414897.75,1414897.75,30.55,49393.57,111546.18,0.0,29770.73,0.0,1.55,88.66,93.94,96.93,98.36,99.29,99.73,99.95,99.98,99.99,0.0,19793.82,8760.0,1410674.08,42.0,15.9,14.42,-1.58,6.42,9.0,10.0,11.0,12.83,14.42,16.58,19.25,21.17,23.17,28.17,0.57,42.2,3697.0
96,simulation,3C,2000s,HotelLarge,San Jose,11000,0.48,1333061788.11,83.63,7326.0,100.0,871118.75,871118.75,76.78,152176.0,181963.12,100657.76,133089.44,0.0,775.98,46.76,66.79,78.61,86.37,91.71,95.46,98.03,99.42,99.91,15147.13,228402.95,8760.0,0.4,638062259.62,100.0,100.0,8760.0,365309.47,365309.47,32.2,72838.16,72838.16,49357.2,49357.2,0.08,0.08,32.32,69.46,80.97,86.64,90.91,93.92,96.0,97.91,99.73,30158.16,85846.73,8760.0,365309.47,34.9,14.88,14.65,0.35,8.3,10.6,11.58,12.41,13.55,14.65,15.75,16.91,17.83,19.0,22.17,0.42,83.63,7326.0
97,simulation,3B,2020s,OutPatientHealthCare,Los Angeles,4000,0.12,792564047.93,99.94,8755.0,100.0,300232.38,300232.38,78.93,90475.35,90527.02,66363.7,66395.41,0.0,354.81,23.81,45.46,62.57,71.7,79.83,86.03,90.55,94.44,97.98,30873.71,131763.3,8760.0,0.99,95794044.63,100.0,100.0,8760.0,143732.8,143732.8,37.78,10935.39,10935.39,8199.65,8199.65,699.15,699.15,78.98,96.22,99.33,99.92,99.95,99.97,99.97,99.98,99.98,5924.39,13138.27,8760.0,143732.8,37.8,17.11,16.91,-18.88,11.35,13.01,13.65,14.29,15.81,16.91,17.89,19.11,19.89,21.05,23.76,0.48,99.94,8755.0
98,simulation,5A,2020s,HotelLarge,Buffalo,11000,0.35,574627012.17,79.57,6970.0,100.0,508570.15,508570.15,44.83,65596.69,82442.9,6500.21,21102.83,0.0,65.94,68.7,76.56,81.58,86.56,90.89,94.44,97.4,99.08,99.84,867.5,87380.3,8760.0,0.07,203367475.39,100.0,73.95,6478.0,171506.28,171506.28,15.12,23215.47,31393.56,5555.44,26888.75,0.0,0.0,56.76,69.05,80.42,90.29,96.27,99.08,99.76,99.93,99.97,0.0,42734.76,8760.0,171228.48,31.24,9.05,9.4,-18.19,-5.64,-0.35,1.35,2.8,6.05,9.4,12.84,16.06,17.55,19.01,22.45,0.34,53.54,4690.0
99,simulation,4C,2020s,Hospital,Seattle,22000,0.58,2351020630.8,100.0,8760.0,100.0,1435244.27,1435244.27,63.97,268381.35,268381.35,203167.85,203167.85,17791.3,17791.3,34.57,67.98,84.98,91.36,94.08,95.51,96.51,97.33,98.88,90022.29,324236.36,8760.0,0.77,1355576001.73,100.0,100.0,8760.0,330244.85,330244.85,14.72,154746.12,154746.12,148157.41,148157.41,8677.69,8677.69,0.79,4.34,15.19,37.79,59.98,76.32,90.15,97.63,99.75,115865.62,195565.81,8760.0,304101.38,31.55,11.24,11.06,-5.6,3.9,5.89,6.74,7.66,9.4,11.06,12.55,14.11,15.0,16.1,19.4,0.23,100.0,8760.0
100,simulation,3A,2020s,OutPatientHealthCare,Sacramento,4000,0.17,653269269.7,99.98,8758.0,100.0,367271.06,367271.06,96.55,74574.12,74591.15,51147.19,51173.36,0.0,183.31,42.21,64.47,78.49,84.65,89.59,93.69,96.67,98.7,99.69,22390.94,96636.4,8760.0,0.91,112406269.26,100.0,100.0,8760.0,106423.8,106423.8,27.98,12831.77,12831.77,8902.28,8902.28,3470.03,3470.03,59.62,85.3,93.76,97.23,98.55,99.29,99.62,99.82,99.94,6024.91,15258.47,8760.0,103280.3,42.0,15.9,14.42,-1.58,6.42,9.0,10.0,11.0,12.83,14.42,16.58,19.25,21.17,23.17,28.17,0.29,99.98,8758.0
101,simulation,4B,2020s,OfficeLarge,Albuquerque,46000,0.09,1968563709.73,57.64,5049.0,100.0,1885122.68,1885122.68,40.7,224721.88,389891.8,7068.41,202371.67,0.0,0.01,70.33,79.87,84.24,87.17,89.44,93.42,97.42,99.49,99.91,0.0,271702.74,8760.0,0.04,178350168.59,100.0,22.33,1956.0,619985.03,619985.03,13.38,20359.61,91181.07,0.0,47523.29,0.0,0.01,89.65,92.85,96.02,97.98,98.96,99.46,99.82,99.93,99.99,0.0,0.0,8760.0,619985.03,38.65,13.68,13.73,-8.47,0.46,3.76,5.35,7.16,10.46,13.73,17.02,19.89,21.27,22.84,26.99,0.33,9.33,817.0
102,simulation,5C,2000s,Hospital,Port Angeles,22000,0.75,3531005132.98,100.0,8760.0,100.0,1368787.55,1368787.55,61.01,403082.78,403082.78,351081.73,351081.73,71339.26,71339.26,1.12,25.27,61.82,81.4,89.14,96.47,98.21,99.36,99.86,273660.04,472069.98,8760.0,0.93,2653159630.36,100.0,100.0,8760.0,483371.21,483371.21,21.54,302872.1,302872.1,302347.65,302347.65,141352.93,141352.93,0.0,0.0,0.03,3.68,19.21,43.11,69.34,89.04,98.32,253448.86,350549.45,8760.0,374861.58,29.58,9.26,9.0,-5.36,2.98,4.58,5.58,6.0,7.42,9.0,10.42,12.0,12.58,13.58,16.58,0.35,100.0,8760.0
103,simulation,3B,2020s,OfficeLarge,Los Angeles,46000,0.02,2030311038.35,68.58,6008.0,100.0,1864254.85,1864254.85,40.25,231770.67,337934.59,33138.26,185841.12,0.0,0.04,65.78,78.32,85.1,88.74,90.98,95.03,97.53,99.51,99.92,0.0,312686.22,8760.0,0.15,33396780.91,100.0,25.34,2220.0,577887.15,577887.15,12.48,3812.42,15043.6,0.0,0.17,0.0,0.0,97.68,98.93,99.65,99.89,99.98,99.98,99.98,99.99,99.99,0.0,0.01,8760.0,577887.15,37.8,17.11,16.91,-18.88,11.35,13.01,13.65,14.29,15.81,16.91,17.89,19.11,19.89,21.05,23.76,0.31,23.53,2061.0
104,simulation,3C,2000s,OutPatientHealthCare,San Jose,4000,0.38,919456942.22,100.0,8760.0,100.0,373437.17,373437.17,98.17,104960.84,104960.84,97041.08,97041.08,7286.17,7286.17,20.48,32.76,61.77,79.19,87.95,93.4,96.95,98.98,99.86,45045.08,138189.32,8760.0,0.88,350261374.76,100.0,100.0,8760.0,163012.38,163012.38,42.85,39984.18,39984.18,34017.35,34017.35,8807.14,8807.14,7.98,46.77,72.87,86.96,94.13,97.57,99.12,99.73,99.92,24019.08,50654.46,8760.0,139048.43,34.9,14.88,14.65,0.35,8.3,10.6,11.58,12.41,13.55,14.65,15.75,16.91,17.83,19.0,22.17,0.44,100.0,8760.0
105,simulation,6A,2020s,Hospital,Rochester,22000,0.75,2495776792.35,98.09,8593.0,100.0,1583705.43,1583705.43,70.59,284906.03,290443.01,105064.53,109809.25,0.0,435.37,55.83,67.88,77.52,83.61,88.81,92.53,94.74,96.83,99.38,34892.75,423208.16,8760.0,0.42,1862117790.26,100.0,100.0,8760.0,1211939.78,1211939.78,54.02,212570.52,212570.52,169747.76,169747.76,61425.23,61425.23,21.8,68.45,90.64,96.79,97.97,98.53,99.26,99.77,99.94,125733.26,269552.83,8760.0,1211939.78,33.9,6.46,7.8,-36.7,-11.45,-4.4,-2.8,-0.89,2.89,7.8,11.91,15.46,17.16,18.76,22.8,0.77,98.09,8593.0
106,simulation,3A,2020s,OfficeLarge,Atlanta,46000,0.04,2422163982.37,57.9,5072.0,100.0,1735366.99,1735366.99,37.46,276502.74,477555.99,12318.1,307663.6,0.0,0.01,65.13,72.82,78.46,82.42,86.02,89.03,91.18,97.48,99.94,0.0,401118.92,8760.0,0.02,100455368.69,100.0,22.07,1933.0,929554.67,929554.67,20.07,11467.51,51968.63,0.0,11546.48,0.0,0.02,95.97,98.29,99.13,99.66,99.83,99.91,99.94,99.97,99.99,0.0,0.0,8760.0,929554.67,36.7,16.65,17.66,-12.55,4.11,8.26,10.11,11.81,14.89,17.66,20.42,22.45,23.48,24.65,28.09,0.54,7.33,642.0
107,simulation,8,2020s,Hospital,Fairbanks,22000,2.2,1132234450.71,92.76,8126.0,100.0,1235576.61,1235576.61,55.07,129250.51,139334.78,49587.61,62486.39,0.0,148.18,69.39,83.66,90.02,93.73,95.23,96.64,98.2,99.12,99.7,561.53,159130.94,8760.0,0.22,2486299925.96,100.0,100.0,8760.0,1208505.36,1208505.36,53.86,283824.19,283824.19,225624.52,225624.52,17482.07,17482.07,19.05,52.61,72.49,87.65,92.02,95.7,96.85,98.82,99.65,134967.0,376942.42,8760.0,1208505.36,30.0,-1.44,-0.38,-38.3,-22.34,-17.16,-14.65,-11.91,-6.45,-0.38,5.64,10.18,11.91,13.62,17.34,0.98,92.76,8126.0
108,simulation,5B,2020s,OfficeLarge,Denver,46000,0.3,1510770934.84,49.0,4292.0,100.0,1727050.5,1727050.5,37.28,172462.44,351996.96,0.0,159184.22,0.0,0.01,76.13,82.88,87.26,89.54,91.13,93.55,96.92,99.08,99.9,0.0,150620.59,8760.0,0.02,446961921.32,100.0,33.03,2893.0,1394612.45,1394612.45,30.11,51023.05,154497.73,0.0,95327.92,0.0,0.0,86.44,93.7,97.1,98.56,99.36,99.67,99.9,99.94,99.99,0.0,7717.85,8760.0,1394612.45,39.05,10.02,9.66,-22.58,-4.0,0.0,1.42,3.17,6.25,9.66,13.75,17.0,18.58,20.14,25.0,0.81,11.7,1025.0
109,simulation,3B,2000s,Hospital,Los Angeles,22000,0.32,7005460124.87,99.97,8757.0,100.0,2827304.97,2827304.97,126.02,799710.06,799984.03,760696.14,760950.15,0.0,0.73,0.63,32.32,66.54,84.32,93.06,96.35,97.93,99.25,99.78,517590.09,929063.79,8760.0,1.0,2237658786.16,100.0,100.0,8760.0,691779.94,691779.94,30.83,255440.5,255440.5,260276.99,260276.99,21671.49,21671.49,0.31,3.97,24.69,58.47,93.39,99.87,99.94,99.95,99.97,208279.45,301796.36,8760.0,691779.94,37.8,17.11,16.91,-18.88,11.35,13.01,13.65,14.29,15.81,16.91,17.89,19.11,19.89,21.05,23.76,0.24,99.97,8757.0
110,simulation,7,2000s,OutPatientHealthCare,International Falls,4000,1.29,528573125.7,73.8,6465.0,100.0,474213.25,474213.25,124.66,60339.4,81759.18,21390.09,39306.62,0.0,13.17,65.06,72.57,85.09,91.5,95.19,97.39,98.69,99.58,99.91,0.0,102336.59,8760.0,0.25,680247880.32,100.0,100.0,8760.0,381199.7,381199.7,100.21,77653.87,77653.87,54604.89,54604.89,8277.61,8277.61,33.92,64.39,79.55,88.06,92.37,95.15,96.97,98.18,98.96,30381.32,99675.49,8760.0,381199.7,34.75,3.36,5.0,-35.35,-18.01,-9.9,-6.53,-3.65,0.11,5.0,9.19,13.47,15.25,17.09,20.84,0.8,73.8,6465.0
111,simulation,6A,2020s,HotelLarge,Rochester,11000,0.52,615249043.81,79.9,6999.0,100.0,580723.99,580723.99,51.19,70233.91,87905.28,7550.02,21654.66,0.0,71.53,70.38,77.19,82.26,86.89,92.19,96.23,98.53,99.6,99.95,1039.2,93264.28,8760.0,0.05,320072078.4,100.0,69.76,6111.0,609443.39,609443.39,53.72,36537.91,52376.38,7767.95,33667.3,0.0,0.02,81.07,95.05,97.72,97.96,98.0,98.07,98.33,99.02,99.67,0.0,47671.89,8760.0,609443.39,33.9,6.46,7.8,-36.7,-11.45,-4.4,-2.8,-0.89,2.89,7.8,11.91,15.46,17.16,18.76,22.8,1.05,49.68,4352.0
112,simulation,3B,2020s,OutPatientHealthCare,San Diego,4000,0.14,636172642.57,100.0,8760.0,100.0,282838.01,282838.01,74.35,72622.45,72622.45,49099.92,49099.92,7362.41,7362.41,28.61,55.33,69.54,77.33,84.2,89.92,94.74,97.57,99.55,26127.55,103356.42,8760.0,0.99,90828422.53,100.0,100.0,8760.0,64276.45,64276.45,16.9,10368.54,10368.54,8080.78,8080.78,3433.58,3433.58,34.7,78.34,89.37,94.95,97.74,98.93,99.54,99.83,99.93,5668.82,11970.38,8760.0,42650.81,36.42,16.01,16.0,1.83,10.42,12.0,13.0,13.42,14.83,16.0,17.0,18.0,18.58,19.83,22.0,0.23,100.0,8760.0
113,simulation,1A,2020s,OutPatientHealthCare,Miami,4000,0.05,1510902024.46,100.0,8760.0,100.0,416492.17,416492.17,109.49,172477.4,172477.4,130169.95,130169.95,11926.73,11926.73,2.47,16.6,47.04,62.27,67.88,74.58,81.23,87.87,95.66,95596.51,252211.33,8760.0,1.0,72706972.58,100.0,100.0,8760.0,58157.36,58157.36,15.29,8299.88,8299.88,6755.15,6755.15,3376.33,3376.33,39.2,84.84,93.04,97.76,98.79,99.62,99.89,99.93,99.99,4903.33,9747.32,8760.0,22940.3,35.35,24.51,25.1,5.25,18.3,21.53,22.45,23.01,24.19,25.1,26.1,26.99,27.55,28.26,29.65,0.14,100.0,8760.0
114,simulation,3C,2020s,OfficeLarge,San Francisco,46000,0.09,607313892.44,44.85,3929.0,100.0,1418564.0,1418564.0,30.63,69328.07,154572.13,0.0,65850.37,0.0,0.02,83.73,91.19,95.42,97.69,98.66,99.02,99.44,99.9,99.98,0.0,43362.0,8760.0,0.06,57275330.0,100.0,28.04,2456.0,354078.66,354078.66,7.64,6538.28,23320.57,0.0,2605.29,0.0,0.0,93.93,96.74,98.23,99.26,99.65,99.81,99.89,99.94,99.99,0.0,0.04,8760.0,354078.66,32.55,13.79,13.48,2.84,9.29,10.77,11.35,11.74,12.68,13.48,14.36,15.28,15.89,16.7,18.9,0.25,15.81,1385.0
115,simulation,3A,2020s,Hospital,Atlanta,22000,0.27,4626988451.83,100.0,8760.0,100.0,1520541.9,1520541.9,67.77,528195.03,528195.03,448197.67,448197.67,526.59,526.59,26.26,39.61,50.48,59.0,70.43,81.34,86.6,91.19,96.87,138301.93,810748.87,8760.0,0.81,1237409733.71,100.0,100.0,8760.0,446506.28,446506.28,19.9,141256.82,141256.82,130378.99,130378.99,57928.06,57928.06,0.0,11.06,53.09,80.16,91.95,96.93,99.28,99.89,99.99,104957.1,166521.94,8760.0,445624.2,36.7,16.65,17.66,-12.55,4.11,8.26,10.11,11.81,14.89,17.66,20.42,22.45,23.48,24.65,28.09,0.29,100.0,8760.0
116,simulation,3B,2000s,OutPatientHealthCare,San Diego,4000,0.29,1072405204.69,100.0,8760.0,100.0,374558.2,374558.2,98.46,122420.69,122420.69,110464.38,110464.38,11063.89,11063.89,14.19,23.68,51.42,71.46,82.76,89.49,94.85,97.84,99.6,77045.57,159339.25,8760.0,0.94,313652179.63,100.0,100.0,8760.0,135713.08,135713.08,35.68,35805.04,35805.04,30739.56,30739.56,9328.84,9328.84,3.93,38.34,70.56,85.43,92.91,96.84,98.56,99.59,99.9,23057.39,44003.78,8760.0,100454.42,36.42,16.01,16.0,1.83,10.42,12.0,13.0,13.42,14.83,16.0,17.0,18.0,18.58,19.83,22.0,0.36,100.0,8760.0
117,simulation,3A,2000s,OfficeLarge,Atlanta,46000,0.12,5330037943.63,95.01,8323.0,100.0,2632331.64,2632331.64,56.83,608451.82,640398.65,335228.65,398286.88,0.0,3.36,47.12,57.29,66.64,74.14,81.22,86.06,94.3,97.27,99.12,13474.77,1089870.55,8760.0,0.08,665540750.59,100.0,38.15,3342.0,2195981.42,2195981.42,47.41,75974.97,199144.45,0.0,47756.53,0.0,0.93,88.4,93.04,96.79,98.62,99.33,99.75,99.87,99.92,99.97,0.0,17462.18,8760.0,2195109.82,36.7,16.65,17.66,-12.55,4.11,8.26,10.11,11.81,14.89,17.66,20.42,22.45,23.48,24.65,28.09,0.83,33.26,2914.0
118,simulation,6B,2020s,OfficeLarge,Great Falls,46000,0.76,1054981763.88,38.41,3365.0,100.0,1924529.65,1924529.65,41.55,120431.71,313516.13,0.0,107932.14,0.0,0.01,84.19,89.52,92.44,93.79,94.93,96.88,98.6,99.45,99.83,0.0,20224.8,8760.0,0.01,803825528.33,100.0,41.27,3615.0,1976526.13,1976526.13,42.67,91760.91,222358.38,0.0,133973.54,0.0,0.01,84.2,92.67,95.97,97.68,98.63,99.37,99.71,99.9,99.97,0.0,76103.73,8760.0,1976526.13,36.74,7.07,7.38,-33.9,-8.09,-1.1,0.39,1.99,4.61,7.38,10.6,13.65,15.25,17.27,21.93,1.03,9.09,796.0
119,simulation,2B,2000s,HotelLarge,Tucson,11000,0.11,2917500981.22,89.77,7864.0,100.0,970651.0,970651.0,85.56,333048.06,370994.53,313045.61,362216.3,0.0,934.35,26.61,37.97,47.98,57.82,67.21,77.59,87.87,96.58,99.71,84620.12,558884.12,8760.0,0.4,314774293.38,100.0,98.79,8654.0,344939.71,344939.71,30.4,35933.14,36373.27,12623.2,12946.0,0.0,0.01,69.54,83.89,89.67,93.48,96.05,97.61,98.49,99.21,99.68,3352.76,45319.63,8760.0,344939.71,42.0,21.71,21.95,-1.06,9.58,13.0,14.58,16.0,19.0,21.95,24.58,27.25,28.76,30.42,33.76,0.36,88.56,7758.0
120,simulation,4C,2000s,OfficeLarge,Seattle,46000,0.65,1246478706.27,49.49,4335.0,100.0,1925078.56,1925078.56,41.56,142292.09,287538.34,0.0,121424.21,0.0,0.0,79.18,86.22,91.13,94.02,96.06,97.31,98.87,99.63,99.82,0.0,116182.22,8760.0,0.04,814380696.37,100.0,51.47,4509.0,1577448.85,1577448.85,34.06,92965.83,180612.26,384.04,105492.01,0.0,4.08,78.48,88.58,95.1,98.06,99.28,99.71,99.89,99.91,99.97,0.0,115575.21,8760.0,1577448.85,31.55,11.24,11.06,-5.6,3.9,5.89,6.74,7.66,9.4,11.06,12.55,14.11,15.0,16.1,19.4,0.82,17.51,1534.0
